,startstationname,startstationlatitude,startstationlongitude,endstationname,endstationlatitude,endstationlongitude,probs
13104,Carmine St & 6 Ave,40.73038599,-74.00214988,Allen St & Stanton St,40.724055,-73.955736,0.45238821657910566
13110,Allen St & Rivington St,40.72019576,-73.98997825,Allen St & Stanton St,40.724055,-73.955736,0.6767482086393131
13150,St Marks Pl & 2 Ave,40.7284186,-73.98713956,Allen St & Stanton St,40.724055,-73.955736,0.009648162353282808
13180,W 13 St & Hudson St,40.739973541034104,-74.0051387250423,Allen St & Stanton St,40.724055,-73.955736,0.39132761687999273
13342,Carmine St & 6 Ave,40.73038599,-74.00214988,Allen St & Stanton St,40.724055,-73.955736,0.12076840129067401
13346,Carmine St & 6 Ave,40.73038599,-74.00214988,Allen St & Stanton St,40.724055,-73.955736,0.08308418791247851
13347,E 10 St & Avenue A,40.72740794,-73.98142006,Allen St & Stanton St,40.724055,-73.955736,0.37704486489285516
13369,Carmine St & 6 Ave,40.73038599,-74.00214988,Allen St & Stanton St,40.724055,-73.955736,0.5573583126882418
13471,W 26 St & 8 Ave,40.74734825,-73.99723551,Allen St & Stanton St,40.724055,-73.955736,0.06710921339539022
13505,E 17 St & Broadway,40.73704984,-73.99009296,Allen St & Stanton St,40.724055,-73.955736,0.4193501558781655
13606,8 Ave & W 33 St,40.751551,-73.993934,Allen St & Stanton St,40.724055,-73.955736,0.2748953172735883
13656,Cleveland Pl & Spring St,40.722103786686,-73.997249007225,Allen St & Stanton St,40.724055,-73.955736,0.7648365706167947
14355,Pershing Square North,40.751872999999996,-73.97770600000001,Allen St & Stanton St,40.724055,-73.955736,0.0008125889949904819
14430,Allen St & Rivington St,40.72019576,-73.98997825,Allen St & Stanton St,40.724055,-73.955736,0.18044321157095888
14443,E 33 St & 2 Ave,40.744023,-73.976056,Allen St & Stanton St,40.724055,-73.955736,0.2243026270234928
14458,Christopher St & Greenwich St,40.73291553,-74.00711384,Allen St & Stanton St,40.724055,-73.955736,0.6994620823790578
14523,W 26 St & 8 Ave,40.74734825,-73.99723551,Allen St & Stanton St,40.724055,-73.955736,0.9296753156685554
14585,W 13 St & Hudson St,40.739973541034104,-74.0051387250423,Allen St & Stanton St,40.724055,-73.955736,0.23799731356815146
14601,Broadway & Battery Pl,40.70463334,-74.01361706,Allen St & Stanton St,40.724055,-73.955736,0.034763212899157625
14711,1 Ave & E 15 St,40.73221853,-73.98165557,Allen St & Stanton St,40.724055,-73.955736,0.8087982034004592
14714,Suffolk St & Stanton St,40.72066442,-73.98517977,Allen St & Stanton St,40.724055,-73.955736,0.4250576974106739
14800,E 14 St & Avenue B,40.72938685,-73.97772429,Allen St & Stanton St,40.724055,-73.955736,0.7787392761139078
